prov_name,yr,age,pop_prop
Tianjin,2004,15_49,0.594001722
Tianjin,2004,50_,0.271133941
Tianjin,2005,0,0.006714472
Tianjin,2005,1_14,0.119955092
Tianjin,2005,15_49,0.589555266
Tianjin,2005,50_,0.28377517
Tianjin,2006,0,0.0066371
Tianjin,2006,1_14,0.114291999
Tianjin,2006,15_49,0.596374864
Tianjin,2006,50_,0.282696038
Tianjin,2007,0,0.006559727
Tianjin,2007,1_14,0.108628906
Tianjin,2007,15_49,0.603194461
Tianjin,2007,50_,0.281616906
Tianjin,2008,0,0.006482355
Tianjin,2008,1_14,0.102965813
Tianjin,2008,15_49,0.610014059
Tianjin,2008,50_,0.280537773
Tianjin,2009,0,0.006404982
Tianjin,2009,1_14,0.09730272
Tianjin,2009,15_49,0.616833657
Tianjin,2009,50_,0.279458641
Tianjin,2010,0,0.00632761
Tianjin,2010,1_14,0.091639627
Tianjin,2010,15_49,0.623653255
Tianjin,2010,50_,0.278379509
Tianjin,2011,0,0.006458247
Tianjin,2011,1_14,0.092179484
Tianjin,2011,15_49,0.61405518
Tianjin,2011,50_,0.287307089
Tianjin,2012,0,0.006588884
Tianjin,2012,1_14,0.092719341
Tianjin,2012,15_49,0.604457106
Tianjin,2012,50_,0.296234668
Tianjin,2013,0,0.006719521
Tianjin,2013,1_14,0.093259199
Tianjin,2013,15_49,0.594859032
Tianjin,2013,50_,0.305162248
Tianjin,2014,0,0.006850158
Tianjin,2014,1_14,0.093799056
Tianjin,2014,15_49,0.585260957
Tianjin,2014,50_,0.314089828
Hebei,1990,0,0.011719204
Hebei,1990,1_14,0.27865614
Hebei,1990,15_49,0.543879332
Hebei,1990,50_,0.165745324
Hebei,1991,0,0.011719204
Hebei,1991,1_14,0.277437334
Hebei,1991,15_49,0.543516374
Hebei,1991,50_,0.167327087
Hebei,1992,0,0.011719204
Hebei,1992,1_14,0.276218528
Hebei,1992,15_49,0.543153417
Hebei,1992,50_,0.168908851
Hebei,1993,0,0.011719204
Hebei,1993,1_14,0.274999723
Hebei,1993,15_49,0.542790459
Hebei,1993,50_,0.170490614
Hebei,1994,0,0.011719204
Hebei,1994,1_14,0.273780917
Hebei,1994,15_49,0.542427501
Hebei,1994,50_,0.172072378
Hebei,1995,0,0.011719204
Hebei,1995,1_14,0.272562111
Hebei,1995,15_49,0.542064543
Hebei,1995,50_,0.173654142
Hebei,1996,0,0.011621174
Hebei,1996,1_14,0.261364125
Hebei,1996,15_49,0.549244478
Hebei,1996,50_,0.177770223
Hebei,1997,0,0.011523144
Hebei,1997,1_14,0.250166139
Hebei,1997,15_49,0.556424413
Hebei,1997,50_,0.181886304
Hebei,1998,0,0.011425115
Hebei,1998,1_14,0.238968152
Hebei,1998,15_49,0.563604347
Hebei,1998,50_,0.186002386
Hebei,1999,0,0.011327085
Hebei,1999,1_14,0.227770166
Hebei,1999,15_49,0.570784282
Hebei,1999,50_,0.190118467
Hebei,2000,0,0.011229055
Hebei,2000,1_14,0.21657218
Hebei,2000,15_49,0.577964217
Hebei,2000,50_,0.194234548
Hebei,2001,0,0.01152411
Hebei,2001,1_14,0.206065819
Hebei,2001,15_49,0.576351322
Hebei,2001,50_,0.206058748
