"prov_name","yr","vacrt_eff"
"Shanghai",1990,0.88806586093415
"Shanghai",1991,0.890595719974416
"Shanghai",1992,0.893083135163962
"Shanghai",1993,0.895528521819252
"Shanghai",1994,0.897932303281551
"Shanghai",1995,0.900294910326876
"Shanghai",1996,0.902616780590232
"Shanghai",1997,0.90489835800438
"Shanghai",1998,0.907140092253416
"Shanghai",1999,0.909342438241313
"Shanghai",2000,0.911505855575616
"Shanghai",2001,0.913630808066374
"Shanghai",2002,0.915717763240403
"Shanghai",2003,0.917767191870922
"Shanghai",2004,0.919779567522548
"Shanghai",2005,0.92175536611165
"Shanghai",2006,0.923695065481993
"Shanghai",2007,0.925599144995597
"Shanghai",2008,0.927468085138704
"Shanghai",2009,0.929302367142709
"Shanghai",2010,0.93110247261992
"Shanghai",2011,0.932868883213963
"Shanghai",2012,0.934602080264635
"Shanghai",2013,0.936302544487002
"Shanghai",2014,0.937970755664512
"Beijing",1990,0.9442648172823
"Beijing",1991,0.94441287744756
"Beijing",1992,0.944560461128591
"Beijing",1993,0.944707569647245
"Beijing",1994,0.944854204323165
"Beijing",1995,0.945000366473772
"Beijing",1996,0.945146057414262
"Beijing",1997,0.945291278457597
"Beijing",1998,0.945436030914501
"Beijing",1999,0.945580316093449
"Beijing",2000,0.945724135300664
"Beijing",2001,0.94586748984011
"Beijing",2002,0.946010381013485
"Beijing",2003,0.946152810120216
"Beijing",2004,0.94629477845745
"Beijing",2005,0.946436287320052
"Beijing",2006,0.946577338000594
"Beijing",2007,0.946717931789357
"Beijing",2008,0.946858069974314
"Beijing",2009,0.946997753841137
"Beijing",2010,0.94713698467318
"Beijing",2011,0.947275763751482
"Beijing",2012,0.947414092354757
"Beijing",2013,0.947551971759389
"Beijing",2014,0.94768940323943
"Tianjin",1990,0.946517543509706
"Tianjin",1991,0.946586292053296
"Tianjin",1992,0.946654893510089
"Tianjin",1993,0.94672334815391
"Tianjin",1994,0.946791656258263
"Tianjin",1995,0.946859818096326
"Tianjin",1996,0.946927833940953
"Tianjin",1997,0.946995704064673
"Tianjin",1998,0.947063428739689
"Tianjin",1999,0.947131008237877
"Tianjin",2000,0.947198442830789
"Tianjin",2001,0.947265732789647
"Tianjin",2002,0.947332878385346
"Tianjin",2003,0.947399879888455
"Tianjin",2004,0.94746673756921
"Tianjin",2005,0.947533451697522
"Tianjin",2006,0.947600022542972
"Tianjin",2007,0.947666450374809
"Tianjin",2008,0.947732735461952
"Tianjin",2009,0.947798878072991
"Tianjin",2010,0.947864878476184
"Tianjin",2011,0.947930736939455
"Tianjin",2012,0.947996453730398
"Tianjin",2013,0.948062029116275
"Tianjin",2014,0.948127463364013
"Jiangsu",1990,0.909560901635522
"Jiangsu",1991,0.911372035016186
"Jiangsu",1992,0.913144048660368
"Jiangsu",1993,0.914877322369611
"Jiangsu",1994,0.916572260000486
"Jiangsu",1995,0.91822928774302
"Jiangsu",1996,0.919848852433663
"Jiangsu",1997,0.92143141990644
"Jiangsu",1998,0.92297747338558
"Jiangsu",1999,0.924487511922438
"Jiangsu",2000,0.925962048879173
"Jiangsu",2001,0.927401610461239
"Jiangsu",2002,0.928806734300412
"Jiangsu",2003,0.930177968089707
