"prov_name","date","age","Sprop_mean"
"Shaanxi","2010-08-31","50_",0.0571106976855526
"Gansu","2010-08-31","0",0.0804378021690191
"Gansu","2010-08-31","1_14",0.103086386466325
"Gansu","2010-08-31","15_49",0.0767029776309612
"Gansu","2010-08-31","50_",0.0576612587291903
"Qinghai","2010-08-31","0",0.0786103639875746
"Qinghai","2010-08-31","1_14",0.106783191310179
"Qinghai","2010-08-31","15_49",0.0806881378813201
"Qinghai","2010-08-31","50_",0.0598575523672682
"Ningxia","2010-08-31","0",0.0757695821282254
"Ningxia","2010-08-31","1_14",0.0948392431625322
"Ningxia","2010-08-31","15_49",0.0745667539597367
"Ningxia","2010-08-31","50_",0.0573077357311184
"Xinjiang","2010-08-31","0",0.074458311690391
"Xinjiang","2010-08-31","1_14",0.0899034868189631
"Xinjiang","2010-08-31","15_49",0.0736087715808511
"Xinjiang","2010-08-31","50_",0.0569952866664357
